song,artist
I Want It That Way,Backstreet Boys
September Gurls,Big Star
Are You That Somebody?,Aaliyah
Your Cheatin’ Heart,Hank Williams
Blue Monday,New Order
You Keep Me Hangin’ On,The Supremes
Groove Is in the Heart,Deee-Lite
My Generation,The Who
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston
Mr. Tambourine Man,The Byrds
This Land Is Your Land,Woody Guthrie
Single Ladies (Put a Ring On It),Beyoncé
Fortunate Son,Creedence Clearwater Revival
There Is a Light That Never Goes Out,The Smiths
Both Sides Now,Joni Mitchell
Layla,Derek and the Dominos
Stills,Crosby
River Deep,Ike and Tina Turner
Bizarre Love Triangle,New Order
Free Fallin”,Tom Petty
In the Midnight Hour,Wilson Pickett
Edge of Seventeen,Stevie Nicks
Shook Ones,Mobb Deep
Deacon Blues,Steely Dan
Paint It,The Rolling Stones
More Than a Feeling,Boston
With or Without You,U2
One Nation Under a Groove,Funkadelic
Boys of Summer,Don Henley
Doll Parts,Hole
Killing in the Name,Rage Against the Machine
Wichita Lineman,Glen Campbell
…Baby One More Time,Britney Spears
Young Americans,David Bowie
Signed,Stevie Wonder
Your Song,Elton John
Ring of Fire,Johnny Cash
Changes,David Bowie
Dream On,Aerosmith
Sexual Healing,Marvin Gaye
I Can’t Stand the Rain,Ann Peebles
Get Up (I Feel Like Being A) Sex Machine,James Brown
Crazy,Patsy Cline
Rid of Me,PJ Harvey
Wild Horses,The Rolling Stones
Ode to Billie Joe,Bobbie Gentry
Space Oddity,David Bowie
Little Wing,The Jimi Hendrix Experience
Subterranean Homesick Blues,Bob Dylan
I’ll Take You There,The Staple Singers
Nothing Compares 2 U,Sinéad O’Connor
You Are the Sunshine of My Life,Stevie Wonder
The Sounds of Silence,Simon and Garfunkel
Eight Miles High,The Byrds
Walk on the Wild Side,Lou Reed
Comfortably Numb,Pink Floyd
Bad Guy,Billie Eilish
You Really Got Me,The Kinks
I Only Have Eyes for You,The Flamingos
Radio Free Europe,R.E.M.
Marquee Moon,Television
Mississippi Goddam,Nina Simone
What a Wonderful World,Louis Armstrong
In the Still of the Night,The Five Satins
American Girl,Tom Petty and the Heartbreakers
Son of a Preacher Man,Dusty Springfield
All the Young Dudes,Mott the Hoople
I’m So Lonesome I Could Cry,Hank Williams
Mr. Tambourine Man,Bob Dylan
Landslide,Fleetwood Mac
Pink Moon,Nick Drake
Into the Groove,Madonna
Nightswimming,R.E.M.
Baba O’Riley,The Who
Cissy Strut,The Meters
Teenage Riot,Sonic Youth
Louie Louie,The Kingsmen
Last Nite,The Strokes
Spoonful,Howlin’ Wolf
Super Freak,Rick James
Proud Mary,Creedence Clearwater Revival
Will You Love Me Tomorrow,The Shirelles
Basket Case,Green Day
Rocket Man,Elton John
Kashmir,Led Zeppelin
Blueberry Hill,Fats Domino
Fire and Rain,James Taylor
Jumpin’ Jack Flash,The Rolling Stones
London Calling,The Clash
He Stopped Loving Her Today,George Jones
Maggie May,Rod Stewart
No Woman No Cry,Bob Marley and the Wailers
Heart of Glass,Blondie
Thank U,Ariana Grande
Try a Little Tenderness,Otis Redding
She Loves You,The Beatles
What’s Love Got to Do With It,Tina Turner
Don’t Stop Believin,Journey
Stand by Me,Ben E. King
Dancing in the Street,Martha and the Vandellas
Hold On,Drake feat. Majid Jordan
Whole Lotta Love,Led Zeppelin
Freedom! ’90,George Michael
Anarchy in the U.K.,Sex Pistols
That’ll Be the Day,Buddy Holly
This Must Be the Place (Naive Melody),Talking Heads
People Get Ready,The Impressions
Let It Be,The Beatles
Oh Bondage! Up Yours!,X-Ray Spex
I Heard It Through the Grapevine,Marvin Gaye
Creep,Radiohead
I Say a Little Prayer,Aretha Franklin
At Last,Etta James
Toxic,Britney Spears
Higher Ground,Stevie Wonder
Losing My Religion,R.E.M.
Thunder Road,Bruce Springsteen
Something,The Beatles
Everyday People,Sly and the Family Stone
Just Like Heaven,The Cure
Sympathy for the Devil,The Rolling Stones
Life on Mars?,David Bowie
I Want You Back,The Jackson 5
You Oughta Know,Alanis Morissette
Maybelline,Chuck Berry
Maps,Yeah Yeah Yeahs
Blowin’ in the Wind,Bob Dylan
Stayin’ Alive,Bee Gees
In My Life,The Beatles
Gloria,Patti Smith
99 Problems,Jay-Z
Wonderwall,Oasis
Good Golly,Little Richard
(You Make Me Feel Like) A Natural Woman,Aretha Franklin
Hey Jude,The Beatles
Sweet Child O’ Mine,Guns N’ Roses
All My Friends,LCD Soundsystem
Tumbling Dice,The Rolling Stones
Kiss,Prince
Let’s Stay Together,Al Green
Desolation Row,Bob Dylan
Rolling in the Deep,Adele
I’m Waiting for the Man,The Velvet Underground
What’d I Say,Ray Charles
Back to Black,Amy Winehouse
Reach Out (I’ll Be There),The Four Tops
Roadrunner,The Modern Lovers
I Walk the Line,Johnny Cash
Common People,Pulp
Hallelujah,Leonard Cohen
Formation,Beyoncé
Yesterday,The Beatles
Fast Car,Tracy Chapman
Suspicious Minds,Elvis Presley
All Too Well,Taylor Swift
Good Times,Chic
Tangled Up in Blue,Bob Dylan
Bridge Over Troubled Water,Simon and Garfunkel
Wind,Earth
Blitzkrieg Bop,Ramones
Jolene,Dolly Parton
One,U2
Stairway to Heaven,Led Zeppelin
Running Up That Hill,Kate Bush
The Weight,The Band
Family Affair,Sly and the Family Stone
Like a Prayer,Madonna
The Tracks of My Tears,Smokey Robinson and the Miracles
Good Vibrations,The Beach Boys
I Feel Love,Donna Summer
Walk on By,Dionne Warwick
Gasolina,Daddy Yankee
Doo Wop (That Thing),Lauryn Hill
Idioteque,Radiohead
Tiny Dancer,Elton John
Alright,Kendrick Lamar
My Girl,The Temptations
Redemption Song,Bob Marley and the Wailers
Love Will Tear Us Apart,Joy Division
All Along the Watchtower,The Jimi Hendrix Experience
(Sittin’ On) the Dock of the Bay,Otis Redding
When Doves Cry,Prince and the Revolution
Seven Nation Army,The White Stripes
Tutti-Frutti,Little Richard
Papa’s Got a Brand New Bag,James Brown
Johnny B. Goode,Chuck Berry
Juicy,Notorious B.I.G.
(I Can’t Get No) Satisfaction,The Rolling Stones
Once in a Lifetime,Talking Heads
Born to Run,Bruce Springsteen
A Case of You,Joni Mitchell
Runaway,Kanye West feat. Pusha T
A Day in the Life,The Beatles
Heroes,David Bowie
Be My Baby,The Ronettes
Strange Fruit,Billie Holiday
Dancing on My Own,Robyn
Imagine,John Lennon
Purple Rain,Prince and the Revolution
Bohemian Rhapsody,Queen
Crazy in Love,Beyoncé feat. Jay-Z
I Want to Hold Your Hand,The Beatles
Waterloo Sunset,The Kinks
Gimme Shelter,The Rolling Stones
Superstition,Stevie Wonder
God Only Knows,The Beach Boys
Hey Ya!,Outkast
Dreams,Fleetwood Mac
Strawberry Fields Forever,The Beatles
What’s Going On,Marvin Gaye
Smells Like Teen Spirit,Nirvana
Like a Rolling Stone,Bob Dylan
A Change Is Gonna Come,Sam Cooke
Respect,Aretha Franklin
Last Dance,Donna Summer
The Rockafeller Skank,Fatboy Slim
We Have Arrived,Mescalinum United
Melody,Oliver Heldens
Rain,Kerri Chandler
Sandwiches,Detroit Grand Pubahs
Everybody Everybody,Black Box
Azz Everywhere,Big Freedia
Hyph Mngo,Joy Orbison
Moody,ESG
In for the Kill (Skream,La Roux
RIP Groove,Double 99
The Power,Snap!
DJ Webstar,DJ Frosty feat. Fatman Scoop
Inspector Norse,Todd Terje
House of Jealous Lovers,The Rapture
Higher Ground,TNGHT
Brown Paper Bag,Roni Size and Reprazent
Back to Life (However Do You Want Me),Soul II Soul
Silver Screen Shower Scene,Felix da Housecat
(This Is) The Dream of Evan and Chan (Superpitcher Kompakt Remix),Dntel feat. Ben Gibbard
Do Ya Wanna Funk?,Patrick Cowley feat. Sylvester
High Energy,Evelyn Thomas
Get Lucky,Daft Punk feat. Pharrell Williams and Nile Rodgers
Easy,Mat Zo and Porter Robinson
We Are Your Friends,Justice vs. Simian
Animals,Martin Garrix
Lookout Weekend,Debbie Deb
Bank Rolls,Tate Kobang
Tainted Love/Where Did Our Love Go?,Soft Cell
Little Fluffy Clouds,The Orb
Quoth,Polygon Window
Midnight Request Line,Skream
Feel My M.F. Bass,Paul Johnson
That,Ten City
Join in the Chant,Nitzer Ebb
Smalltown Boy,Bronski Beat
LFO (Leeds Warehouse Mix),LFO
Sticky,Drake
I Get Deep (Shelter Mix),Roland Clark
Follow Me,Aly-Us
Rock Your Baby,George McCrae
Perezosa,El General
Maximum Style,Tom and Jerry
Losing My Edge,LCD Soundsystem
Ojos Asi (Thunder Mix),Shakira
My Red Hot Car,Squarepusher
Sing It Back (Boris Musical Mix),Moloko
Don,The Human League
